ensid,entrezid,symbol,logFC,logCPM,F,PValue,FDR
ENSG00000166396,8710,SERPINB7,-1.99862172988598,6.52935810894903,1319.59223840869,4.27951495647332e-171,2.11408038849782e-169
ENSG00000085552,57549,IGSF9,-1.45206306357076,6.5210181353251,1318.10662207493,5.66059997552962e-171,2.78044811298031e-169
ENSG00000102349,11279,KLF8,-0.991058105143273,6.74584386147565,2485.6407332354,6.7340843531846e-171,3.28904854425316e-169
ENSG00000108352,51195,RAPGEFL1,-0.874231252611204,7.04804740729593,6211.81093982677,1.6317708708168e-170,7.92508942596136e-169
ENSG00000189334,57402,S100A14,-1.64856182836001,6.71847021389742,1309.75949918639,2.73488265397763e-170,1.32084137115288e-168
ENSG00000108924,3131,HLF,-1.01698271775521,6.68042850308081,1959.85674136775,2.8668975117878e-170,1.37690716607809e-168
ENSG00000184860,93517,SDR42E1,-1.28484137924231,6.57699468038962,1306.97372804489,4.63283681988632e-170,2.21275548662526e-168
ENSG00000175084,1674,DES,-1.26582558270938,6.74687736548715,1303.19787223311,9.47537291946911e-170,4.50080213674783e-168
ENSG00000105141,23581,CASP14,-2.68510286143464,6.60439434375903,1301.1587476111,1.39523436594101e-169,6.59114813855741e-168
ENSG00000142273,23624,CBLC,-2.53167187537464,6.23453297276939,1300.98263054096,1.44267736573783e-169,6.77823142761062e-168
ENSG00000101213,5753,PTK6,-0.980257744997082,6.7759073101499,1297.40665464643,2.84640893528903e-169,1.33011920246344e-167
ENSG00000168447,6338,SCNN1B,-1.47205270096043,6.55038933457603,1291.20925679083,9.2676812695243e-169,4.30747874059342e-167
ENSG00000172478,79919,MAB21L4,-2.50291921348799,6.31721420660922,1289.43646975893,1.29988110246146e-168,6.00934338544351e-167
ENSG00000146904,2041,EPHA1,-1.01898062510309,6.66296294140865,1911.07766295656,1.9102656011729e-168,8.78417346922327e-167
ENSG00000144837,51365,PLA1A,1.13489549529639,6.75338814841708,1286.99401869985,2.07273814490988e-168,9.48085781097669e-167
ENSG00000163293,152519,NIPAL1,-1.02458774708556,6.6445326236009,1355.43386997422,1.18101512578225e-167,5.37361882230924e-166
ENSG00000147676,114569,MAL2,-1.53457261292308,6.67750550217994,1274.44900353096,2.2967866232297e-167,1.03956651088067e-165
ENSG00000164825,1672,DEFB1,-1.990617680336,6.33958611492986,1273.64004961108,2.68346901481907e-167,1.20825987672452e-165
ENSG00000178038,259173,ALS2CL,-0.89644932535946,6.95882638467438,3853.99354908868,7.72414879496906e-167,3.45985835919728e-165
ENSG00000223573,257000,TINCR,-1.03338298001941,6.80729034062813,1267.74168969724,8.36020503890875e-167,3.7254625031632e-165
ENSG00000171345,3880,KRT19,-1.5499621760556,6.5838070586475,1264.66504252056,1.51426984482629e-166,6.71326297872989e-165
ENSG00000167723,162514,TRPV3,-1.07851688408827,6.63175535995795,1264.15439374263,1.67132177462551e-166,7.37172282736609e-165
ENSG00000006555,55001,TTC22,-1.31091083764906,6.56544765529193,1262.51824848701,2.29322764581312e-166,1.00634279177941e-164
ENSG00000125998,128876,FAM83C,-2.59143667911442,6.34176731879348,1259.29683102955,4.27828277374093e-166,1.86796740297931e-164
ENSG00000102554,688,KLF5,-0.873685460674752,7.01339806941343,2782.43377776256,1.17003556184752e-165,5.08289318199588e-164
ENSG00000226869,645591,LHFPL3-AS1,2.43677240828081,6.45775835456888,1248.92553286344,3.2068146258637e-165,1.38614562202958e-163
ENSG00000172818,5017,OVOL1,-1.73858842678733,6.4953274185673,1241.16497899507,1.45739424467388e-164,6.26824539562471e-163
ENSG00000101197,79444,BIRC7,1.10588659848042,6.75651685648281,1234.96009988997,4.91003842279216e-164,2.10135060222962e-162
ENSG00000086570,2196,FAT2,-0.923242506165273,6.86554982476367,1402.58684726182,5.68069372381056e-164,2.41919198238139e-162
ENSG00000100033,5625,PRODH,-0.975485972548912,6.82902026217889,1233.81136007056,6.15066491962328e-164,2.60649501128153e-162
ENSG00000211896,3500,IGHG1,1.13204167947077,7.17809811353812,1234.77619224079,6.39543227488743e-164,2.69700058616594e-162
ENSG00000161798,362,AQP5,-1.73181470981504,6.50163596331448,1231.59575162158,9.50123916461935e-164,3.98729187272497e-162
ENSG00000104892,147700,KLC3,-1.41912240096675,6.64294847044929,1231.24295641393,1.01829015265426e-163,4.25271418825896e-162
ENSG00000131386,117248,GALNT15,-0.971884152051489,6.74039260780065,1678.40367123516,1.03025378971375e-163,4.28199231349779e-162
